trades,profit_trades,loss_trades,sl_hits,tp1,tp2,tp3,engine_sell,net,win_rate,avg,profit_factor,days_tp1_ok,trading_days,engine,symbol,side
117,44,73,73,94,70,44,0,664.0,37.60683760683761,5.6752136752136755,1.7579908675799087,36,37,E6 EMA Stack Momentum,Sensex,PE
61,29,32,31,49,34,28,2,608.10625,47.540983606557376,9.968954918032788,2.619080107831065,29,33,E7 ATR Expansion Impulse,Sensex,PE
37,15,22,20,31,20,15,2,269.88250558035713,40.54054054054054,7.294121772442085,2.057875337770554,22,25,E8 RSI Regime,Sensex,PE
24,9,15,15,18,12,9,0,135.0,37.5,5.625,1.75,16,20,E9 MACD Histogram,Sensex,PE
18,5,13,13,17,14,5,0,18.999999999999993,27.77777777777778,1.0555555555555551,1.1217948717948718,15,16,E10 Supertrend,Sensex,PE
35,14,21,20,30,23,14,1,245.403125,40.0,7.011517857142857,2.003296239986713,25,28,E11 Engulf + Volume,Sensex,PE
23,9,14,12,21,17,9,2,151.3171875,39.130434782608695,6.5790081521739125,1.9244537357885394,19,21,E12 Rejection Wick Sweep,Sensex,PE
29,11,18,18,20,14,11,0,168.99999999999994,37.93103448275862,5.82758620689655,1.7824074074074074,17,22,E13 Inside Bar Breakout,Sensex,PE
169,71,98,84,133,81,40,45,597.7137555803572,42.01183431952663,3.536767784499155,1.5617456251974737,47,49,E14 Round Premium Levels,Sensex,PE
18,5,13,13,14,12,5,0,18.999999999999993,27.77777777777778,1.0555555555555551,1.1217948717948718,11,14,E15 Option CPR / Pivot,Sensex,PE
55,12,43,43,44,26,12,0,-95.99999999999999,21.818181818181817,-1.7454545454545451,0.813953488372093,29,31,E16 Donchian Channel Break,Sensex,PE
7,3,4,3,6,3,3,1,61.1375,42.857142857142854,8.733928571428573,2.3938444001139927,6,7,E21 Bollinger Squeeze Break,Sensex,PE
