DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL
2025-06-20,2025-07-31,CE,25350.0,271.0,370.0,247.25,355.1,341.4,355.1,28425,75,7297.57,21900.0,4650.0,NIFTY
2025-06-23,2025-07-31,CE,25350.0,310.0,337.8,249.95,301.3,297.55,301.3,40725,75,10439.0,20850.0,-1050.0,NIFTY
2025-06-24,2025-07-31,CE,25350.0,419.05,468.0,313.55,323.2,332.85,323.2,91200,75,23470.55,29175.0,8325.0,NIFTY
2025-06-25,2025-07-31,CE,25350.0,344.0,412.95,341.9,389.55,399.0,389.55,57075,75,14688.99,40050.0,10875.0,NIFTY
2025-06-26,2025-07-31,CE,25350.0,399.2,554.15,399.2,535.05,537.45,535.05,241800,75,62433.68,37350.0,-2700.0,NIFTY
2025-06-27,2025-07-31,CE,25350.0,580.0,625.9,550.0,617.85,623.4,617.85,35100,75,9104.32,36000.0,-1350.0,NIFTY
2025-06-30,2025-07-31,CE,25350.0,624.45,625.95,499.95,517.6,522.5,517.6,57150,75,14794.13,53550.0,17550.0,NIFTY
2025-07-01,2025-07-31,CE,25350.0,528.55,555.4,503.8,527.0,524.45,527.0,14025,75,3629.45,53325.0,-225.0,NIFTY
2025-07-02,2025-07-31,CE,25350.0,539.0,548.15,416.75,448.55,445.0,448.55,46800,75,12081.02,59100.0,5775.0,NIFTY
2025-07-03,2025-07-31,CE,25350.0,463.05,520.55,411.2,419.55,411.2,419.55,72000,75,18582.19,60675.0,1575.0,NIFTY
2025-07-04,2025-07-31,CE,25350.0,411.75,441.15,358.0,430.0,436.0,430.0,202500,75,52124.38,67425.0,6750.0,NIFTY
2025-07-07,2025-07-31,CE,25350.0,396.05,445.0,386.7,417.25,417.9,417.25,106350,75,27400.59,58650.0,-8775.0,NIFTY
2025-07-08,2025-07-31,CE,25350.0,393.3,463.3,393.3,452.35,455.65,452.35,55500,75,14298.11,56775.0,-1875.0,NIFTY
2025-07-09,2025-07-31,CE,25350.0,438.05,454.8,380.95,398.9,395.6,398.9,83850,75,21608.44,60000.0,3225.0,NIFTY
2025-07-10,2025-07-31,CE,25350.0,389.6,389.6,297.0,302.7,298.9,302.7,209775,75,53854.64,104100.0,44100.0,NIFTY
2025-07-11,2025-07-31,CE,25350.0,251.0,271.3,181.7,190.15,182.0,190.15,468600,75,119852.95,137775.0,33675.0,NIFTY
2025-07-14,2025-07-31,CE,25350.0,185.0,185.0,128.05,154.6,153.35,154.6,274725,75,70050.04,136950.0,-825.0,NIFTY
2025-07-15,2025-07-31,CE,25350.0,159.05,205.8,141.5,177.4,185.0,177.4,349275,75,89153.93,157125.0,20175.0,NIFTY
2025-07-16,2025-07-31,CE,25350.0,160.0,175.5,128.05,154.15,149.0,154.15,364125,75,92846.8,150525.0,-6600.0,NIFTY
2025-07-17,2025-07-31,CE,25350.0,150.1,155.85,112.5,115.45,115.0,115.45,572025,75,145755.11,159075.0,8550.0,NIFTY
2025-07-18,2025-07-31,CE,25350.0,116.0,116.0,65.45,73.55,74.55,73.55,1989450,75,505835.7,306450.0,147375.0,NIFTY
2025-07-21,2025-07-31,CE,25350.0,71.75,86.9,42.55,76.0,77.85,76.0,3417675,75,868773.84,380550.0,74100.0,NIFTY
2025-07-22,2025-07-31,CE,25350.0,81.75,92.5,49.7,52.85,50.9,52.85,5054325,75,1284571.82,488475.0,107925.0,NIFTY
2025-07-23,2025-07-31,CE,25350.0,54.7,89.9,51.05,87.7,87.0,87.7,6080475,75,1545621.76,538125.0,49650.0,NIFTY
2025-07-24,2025-07-31,CE,25350.0,87.95,93.35,34.75,37.65,36.25,37.65,14633175,75,3716739.32,1176600.0,638475.0,NIFTY
2025-07-25,2025-07-31,CE,25350.0,30.15,30.15,13.65,14.65,14.6,14.65,33506025,75,8499859.82,2224650.0,1048050.0,NIFTY
2025-07-28,2025-07-31,CE,25350.0,11.65,16.8,6.5,7.25,7.2,7.25,42837150,75,10863675.66,2461650.0,237000.0,NIFTY
2025-07-29,2025-07-31,CE,25350.0,6.2,7.6,3.15,3.9,3.3,3.9,28292550,75,7173718.55,2363100.0,-98550.0,NIFTY
2025-07-30,2025-07-31,CE,25350.0,3.5,3.5,1.3,1.95,1.55,1.95,76739850,75,19455378.02,3165000.0,801900.0,NIFTY
2025-07-31,2025-07-31,CE,25350.0,1.15,1.7,0.05,0.1,0.05,24768.35,82653975,75,20953416.96,2347350.0,-817650.0,NIFTY
