entry_ts,exit_ts,entry,exit,pnl,reason,hit_tp1,hit_tp2,hit_tp3,day,side,strike,moneyness,expiry,contract,mode
2025-05-13 09:00:00,2025-05-13 10:00:00,790.8235900785221,772.8235900785221,-18.0,SL,False,False,False,2025-05-13,CE,24250,ITM,2025-05-29,2025-05-29_CE_24250,runners
2025-05-15 10:00:00,2025-05-15 11:00:00,683.2404736608114,665.2404736608114,-18.0,SL,False,False,False,2025-05-15,CE,24250,ITM,2025-05-29,2025-05-29_CE_24250,runners
2025-05-23 14:00:00,2025-05-23 15:00:00,668.4093903533867,650.4093903533867,-18.0,SL,False,False,False,2025-05-23,CE,24250,ITM,2025-05-29,2025-05-29_CE_24250,runners
2025-05-26 13:00:00,2025-05-26 14:00:00,816.773046248938,798.773046248938,-18.0,SL,False,False,False,2025-05-26,CE,24250,ITM,2025-05-29,2025-05-29_CE_24250,runners
2025-05-13 09:00:00,2025-05-13 10:00:00,751.1128599587973,733.1128599587973,-18.0,SL,False,False,False,2025-05-13,CE,24300,ITM,2025-05-29,2025-05-29_CE_24300,runners
2025-05-26 09:00:00,2025-05-26 10:00:00,693.3640491571568,728.3640491571568,35.0,TP3,True,True,True,2025-05-26,CE,24300,ITM,2025-05-29,2025-05-29_CE_24300,runners
2025-05-12 10:00:00,2025-05-12 11:00:00,599.7090068048019,581.7090068048019,-18.0,SL,False,False,False,2025-05-12,CE,24350,ATM,2025-05-29,2025-05-29_CE_24350,runners
2025-05-13 09:00:00,2025-05-13 10:00:00,705.5133160659425,687.5133160659425,-18.0,SL,False,False,False,2025-05-13,CE,24350,ATM,2025-05-29,2025-05-29_CE_24350,runners
2025-05-26 09:00:00,2025-05-26 10:00:00,646.1239449500681,681.1239449500681,35.0,TP3,True,True,True,2025-05-26,CE,24350,ATM,2025-05-29,2025-05-29_CE_24350,runners
2025-05-13 09:00:00,2025-05-13 10:00:00,671.1308477278253,653.1308477278253,-18.0,SL,False,False,False,2025-05-13,CE,24400,OTM,2025-05-29,2025-05-29_CE_24400,runners
2025-05-26 09:00:00,2025-05-26 10:00:00,602.9720682949337,637.9720682949337,35.0,TP3,True,True,True,2025-05-26,CE,24400,OTM,2025-05-29,2025-05-29_CE_24400,runners
2025-05-13 09:00:00,2025-05-13 10:00:00,632.9016334051157,614.9016334051157,-18.0,SL,False,False,False,2025-05-13,CE,24450,OTM,2025-05-29,2025-05-29_CE_24450,runners
2025-05-15 11:00:00,2025-05-15 12:00:00,674.2941615331547,656.2941615331547,-18.0,SL,False,False,False,2025-05-15,CE,24450,OTM,2025-05-29,2025-05-29_CE_24450,runners
2025-05-26 09:00:00,2025-05-26 10:00:00,560.2067457735611,595.2067457735611,35.0,TP3,True,True,True,2025-05-26,CE,24450,OTM,2025-05-29,2025-05-29_CE_24450,runners
2025-05-07 13:00:00,2025-05-07 14:00:00,298.3543956387348,333.3543956387348,35.0,TP3,True,True,True,2025-05-07,PE,24250,OTM,2025-05-29,2025-05-29_PE_24250,runners
2025-05-12 10:00:00,2025-05-12 11:00:00,207.3612556433145,189.3612556433145,-18.0,SL,False,False,False,2025-05-12,PE,24250,OTM,2025-05-29,2025-05-29_PE_24250,runners
2025-05-13 10:00:00,2025-05-13 11:00:00,140.26785426107108,122.26785426107108,-18.0,SL,False,False,False,2025-05-13,PE,24250,OTM,2025-05-29,2025-05-29_PE_24250,runners
2025-05-14 09:00:00,2025-05-14 10:00:00,160.18456197637897,142.18456197637897,-18.0,SL,False,False,False,2025-05-14,PE,24250,OTM,2025-05-29,2025-05-29_PE_24250,runners
2025-05-14 15:00:00,2025-05-15 09:00:00,135.6070256293042,117.60702562930419,-18.0,SL,False,False,False,2025-05-14,PE,24250,OTM,2025-05-29,2025-05-29_PE_24250,runners
2025-05-20 10:00:00,2025-05-20 12:00:00,41.626331690702955,46.626331690702955,5.0,BE/trail,True,True,False,2025-05-20,PE,24250,OTM,2025-05-29,2025-05-29_PE_24250,runners
2025-05-21 10:00:00,2025-05-21 12:00:00,63.5036339441649,63.5036339441649,0.0,BE/trail,True,False,False,2025-05-21,PE,24250,OTM,2025-05-29,2025-05-29_PE_24250,runners
2025-05-23 11:00:00,2025-05-23 13:00:00,42.25352212928465,47.25352212928465,5.0,BE/trail,True,True,False,2025-05-23,PE,24250,OTM,2025-05-29,2025-05-29_PE_24250,runners
2025-05-26 11:00:00,2025-05-26 13:00:00,17.920800829419477,17.920800829419477,0.0,BE/trail,True,False,False,2025-05-26,PE,24250,OTM,2025-05-29,2025-05-29_PE_24250,runners
2025-05-07 13:00:00,2025-05-07 14:00:00,313.77525295060514,348.77525295060514,35.0,TP3,True,True,True,2025-05-07,PE,24300,OTM,2025-05-29,2025-05-29_PE_24300,runners
2025-05-12 10:00:00,2025-05-12 11:00:00,218.71108320778148,200.71108320778148,-18.0,SL,False,False,False,2025-05-12,PE,24300,OTM,2025-05-29,2025-05-29_PE_24300,runners
2025-05-13 10:00:00,2025-05-13 11:00:00,149.90664419911354,131.90664419911354,-18.0,SL,False,False,False,2025-05-13,PE,24300,OTM,2025-05-29,2025-05-29_PE_24300,runners
2025-05-14 09:00:00,2025-05-14 10:00:00,172.68175372117912,154.68175372117912,-18.0,SL,False,False,False,2025-05-14,PE,24300,OTM,2025-05-29,2025-05-29_PE_24300,runners
2025-05-14 15:00:00,2025-05-15 09:00:00,146.9817380503855,128.9817380503855,-18.0,SL,False,False,False,2025-05-14,PE,24300,OTM,2025-05-29,2025-05-29_PE_24300,runners
2025-05-20 10:00:00,2025-05-20 12:00:00,46.898927135914164,51.898927135914164,5.0,BE/trail,True,True,False,2025-05-20,PE,24300,OTM,2025-05-29,2025-05-29_PE_24300,runners
2025-05-21 10:00:00,2025-05-21 12:00:00,71.13864611512236,71.13864611512236,0.0,BE/trail,True,False,False,2025-05-21,PE,24300,OTM,2025-05-29,2025-05-29_PE_24300,runners
2025-05-23 11:00:00,2025-05-23 12:00:00,48.6604021292851,83.6604021292851,35.0,TP3,True,True,True,2025-05-23,PE,24300,OTM,2025-05-29,2025-05-29_PE_24300,runners
2025-05-26 10:00:00,2025-05-27 09:00:00,26.874719146386724,8.874719146386724,-18.0,SL,False,False,False,2025-05-26,PE,24300,OTM,2025-05-29,2025-05-29_PE_24300,runners
2025-05-07 13:00:00,2025-05-07 14:00:00,331.1356475305929,366.1356475305929,35.0,TP3,True,True,True,2025-05-07,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-12 10:00:00,2025-05-12 11:00:00,232.0042394601096,214.0042394601096,-18.0,SL,False,False,False,2025-05-12,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-13 10:00:00,2025-05-13 11:00:00,161.94738903723828,143.94738903723828,-18.0,SL,False,False,False,2025-05-13,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-14 09:00:00,2025-05-14 10:00:00,188.5444155028017,170.5444155028017,-18.0,SL,False,False,False,2025-05-14,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-14 15:00:00,2025-05-15 09:00:00,161.52971123438965,143.52971123438965,-18.0,SL,False,False,False,2025-05-14,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-20 10:00:00,2025-05-20 11:00:00,52.8751945387221,87.8751945387221,35.0,TP3,True,True,True,2025-05-20,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-21 10:00:00,2025-05-21 11:00:00,80.5928802087983,62.592880208798306,-18.0,SL,False,False,False,2025-05-21,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-22 09:00:00,2025-05-22 11:00:00,61.10477233833262,66.10477233833262,5.0,BE/trail,True,True,False,2025-05-22,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-23 11:00:00,2025-05-23 12:00:00,55.97298062198479,90.97298062198479,35.0,TP3,True,True,True,2025-05-23,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-26 10:00:00,2025-05-27 09:00:00,31.43846028596272,13.43846028596272,-18.0,SL,False,False,False,2025-05-26,PE,24350,ATM,2025-05-29,2025-05-29_PE_24350,runners
2025-05-07 13:00:00,2025-05-07 14:00:00,349.2122564983747,384.2122564983747,35.0,TP3,True,True,True,2025-05-07,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
2025-05-12 10:00:00,2025-05-12 11:00:00,246.56105021000076,228.56105021000076,-18.0,SL,False,False,False,2025-05-12,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
2025-05-13 10:00:00,2025-05-13 11:00:00,175.56067083443304,157.56067083443304,-18.0,SL,False,False,False,2025-05-13,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
2025-05-14 09:00:00,2025-05-14 10:00:00,202.52393166318325,184.52393166318325,-18.0,SL,False,False,False,2025-05-14,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
2025-05-14 15:00:00,2025-05-15 09:00:00,174.39005813878612,156.39005813878612,-18.0,SL,False,False,False,2025-05-14,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
2025-05-20 10:00:00,2025-05-20 11:00:00,59.407823534643285,94.40782353464328,35.0,TP3,True,True,True,2025-05-20,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
2025-05-21 11:00:00,2025-05-21 13:00:00,77.87769113876857,82.87769113876857,5.0,BE/trail,True,True,False,2025-05-21,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
2025-05-23 11:00:00,2025-05-23 12:00:00,64.19848319953417,46.19848319953417,-18.0,SL,False,False,False,2025-05-23,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
2025-05-26 10:00:00,2025-05-26 11:00:00,36.3564555767739,18.356455576773897,-18.0,SL,False,False,False,2025-05-26,PE,24400,ITM,2025-05-29,2025-05-29_PE_24400,runners
