DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL
2025-06-20,2025-07-31,PE,25450.0,662.0,662.0,543.1,548.3,556.4,548.3,3600,75,936.59,4575.0,1725.0,NIFTY
2025-06-23,2025-07-31,PE,25450.0,613.95,712.7,564.05,609.4,609.4,609.4,7275,75,1899.94,5400.0,825.0,NIFTY
2025-06-24,2025-07-31,PE,25450.0,440.0,565.2,399.4,535.7,529.55,535.7,30825,75,7984.53,10350.0,4950.0,NIFTY
2025-06-25,2025-07-31,PE,25450.0,480.15,491.55,415.2,428.7,434.0,428.7,11775,75,3048.25,15000.0,4650.0,NIFTY
2025-06-26,2025-07-31,PE,25450.0,407.95,410.0,295.5,302.9,303.0,302.9,116775,75,30123.3,43575.0,28575.0,NIFTY
2025-06-27,2025-07-31,PE,25450.0,269.25,298.1,239.3,242.05,241.25,242.05,104475,75,26859.28,57150.0,13575.0,NIFTY
2025-06-30,2025-07-31,PE,25450.0,236.05,304.3,231.5,281.15,278.55,281.15,165375,75,42540.15,73875.0,16725.0,NIFTY
2025-07-01,2025-07-31,PE,25450.0,275.85,290.0,249.35,259.95,258.4,259.95,108525,75,27905.88,90675.0,16800.0,NIFTY
2025-07-02,2025-07-31,PE,25450.0,245.0,325.0,233.8,291.85,298.85,291.85,378825,75,97515.81,99975.0,9300.0,NIFTY
2025-07-03,2025-07-31,PE,25450.0,270.15,316.0,233.35,299.15,305.0,299.15,349500,75,89910.63,108150.0,8175.0,NIFTY
2025-07-04,2025-07-31,PE,25450.0,299.15,348.2,271.3,276.6,273.45,276.6,348825,75,89854.37,110475.0,2325.0,NIFTY
2025-07-07,2025-07-31,PE,25450.0,283.55,298.9,259.5,269.55,267.7,269.55,392775,75,101031.09,121275.0,10800.0,NIFTY
2025-07-08,2025-07-31,PE,25450.0,280.0,280.0,215.1,222.05,226.0,222.05,280200,75,72005.24,139650.0,18375.0,NIFTY
2025-07-09,2025-07-31,PE,25450.0,224.2,243.85,196.0,227.25,230.0,227.25,399000,75,102424.25,207075.0,67425.0,NIFTY
2025-07-10,2025-07-31,PE,25450.0,223.7,284.85,219.55,271.5,279.8,271.5,481800,75,123866.69,215325.0,8250.0,NIFTY
2025-07-11,2025-07-31,PE,25450.0,269.95,390.0,269.95,376.65,384.5,376.65,208350,75,53739.78,170775.0,-44550.0,NIFTY
2025-07-14,2025-07-31,PE,25450.0,392.05,467.95,381.45,396.2,395.7,396.2,118650,75,30696.83,149400.0,-21375.0,NIFTY
2025-07-15,2025-07-31,PE,25450.0,370.05,401.25,300.5,312.5,301.25,312.5,54525,75,14059.08,150750.0,1350.0,NIFTY
2025-07-16,2025-07-31,PE,25450.0,342.05,376.0,288.85,313.2,317.9,313.2,121800,75,31377.56,155025.0,4275.0,NIFTY
2025-07-17,2025-07-31,PE,25450.0,303.0,366.5,298.0,352.0,360.05,352.0,170700,75,43998.68,162450.0,7425.0,NIFTY
2025-07-18,2025-07-31,PE,25450.0,358.25,513.85,358.25,463.95,465.75,463.95,65700,75,17021.82,161250.0,-1200.0,NIFTY
2025-07-21,2025-07-31,PE,25450.0,485.0,552.5,365.25,376.25,365.25,376.25,93225,75,24116.65,163650.0,2400.0,NIFTY
2025-07-22,2025-07-31,PE,25450.0,338.55,407.65,314.6,384.25,383.95,384.25,140325,75,36223.87,196725.0,33075.0,NIFTY
2025-07-23,2025-07-31,PE,25450.0,340.0,365.85,246.7,250.4,249.6,250.4,395550,75,101736.57,149100.0,-47625.0,NIFTY
2025-07-24,2025-07-31,PE,25450.0,239.55,425.6,239.55,373.5,385.7,373.5,282675,75,72842.68,153525.0,4425.0,NIFTY
2025-07-25,2025-07-31,PE,25450.0,481.4,630.0,449.3,606.05,609.3,606.05,164100,75,42686.27,149475.0,-4050.0,NIFTY
2025-07-28,2025-07-31,PE,25450.0,669.25,780.0,539.25,740.7,745.1,740.7,43350,75,11316.67,147300.0,-2175.0,NIFTY
2025-07-29,2025-07-31,PE,25450.0,804.25,806.85,601.5,610.0,605.2,610.0,13875,75,3629.0,146100.0,-1200.0,NIFTY
2025-07-30,2025-07-31,PE,25450.0,680.7,680.7,544.95,580.75,587.55,580.75,86700,75,22584.0,88050.0,-58050.0,NIFTY
2025-07-31,2025-07-31,PE,25450.0,761.9,821.1,485.0,683.5,682.85,24768.35,109800,75,28663.39,58125.0,-29925.0,NIFTY
