DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL
2025-06-20,2025-07-31,PE,25550.0,734.1,737.9,596.65,605.8,614.6,605.8,5175,75,1354.94,3075.0,750.0,NIFTY
2025-06-23,2025-07-31,PE,25550.0,674.0,777.9,642.55,651.5,651.5,782.9,4350,75,1142.43,3075.0,0.0,NIFTY
2025-06-24,2025-07-31,PE,25550.0,500.0,684.1,445.85,623.8,684.1,623.8,17475,75,4556.53,6300.0,3225.0,NIFTY
2025-06-25,2025-07-31,PE,25550.0,545.0,548.8,469.1,484.95,485.6,484.95,12150,75,3166.54,7725.0,1425.0,NIFTY
2025-06-26,2025-07-31,PE,25550.0,458.95,460.15,337.0,343.05,348.55,343.05,124650,75,32302.28,60075.0,52350.0,NIFTY
2025-06-27,2025-07-31,PE,25550.0,330.0,339.05,272.6,278.45,276.7,278.45,292125,75,75522.39,113550.0,53475.0,NIFTY
2025-06-30,2025-07-31,PE,25550.0,272.8,347.25,267.0,323.65,323.0,323.65,422025,75,109136.97,167700.0,54150.0,NIFTY
2025-07-01,2025-07-31,PE,25550.0,327.75,335.55,286.55,299.15,300.55,299.15,234825,75,60708.95,184575.0,16875.0,NIFTY
2025-07-02,2025-07-31,PE,25550.0,284.15,372.1,271.7,338.05,343.8,338.05,314850,75,81469.3,183825.0,-750.0,NIFTY
2025-07-03,2025-07-31,PE,25550.0,316.75,363.3,273.1,345.45,350.5,345.45,369900,75,95665.85,194775.0,10950.0,NIFTY
2025-07-04,2025-07-31,PE,25550.0,368.0,398.85,316.0,321.8,317.15,321.8,123000,75,31860.62,184200.0,-10575.0,NIFTY
2025-07-07,2025-07-31,PE,25550.0,336.85,341.1,302.05,313.8,312.15,313.8,150375,75,38897.79,183075.0,-1125.0,NIFTY
2025-07-08,2025-07-31,PE,25550.0,320.05,326.85,255.0,262.45,260.4,262.45,185475,75,47918.06,171000.0,-12075.0,NIFTY
2025-07-09,2025-07-31,PE,25550.0,266.05,289.9,234.0,271.45,272.0,271.45,352800,75,91050.33,207375.0,36375.0,NIFTY
2025-07-10,2025-07-31,PE,25550.0,271.45,336.2,261.0,325.2,329.25,325.2,203025,75,52485.9,181725.0,-25650.0,NIFTY
2025-07-11,2025-07-31,PE,25550.0,385.0,460.0,342.5,441.6,451.0,441.6,183675,75,47671.79,132450.0,-49275.0,NIFTY
2025-07-14,2025-07-31,PE,25550.0,465.15,542.9,452.85,468.0,467.1,468.0,69525,75,18108.03,118800.0,-13650.0,NIFTY
2025-07-15,2025-07-31,PE,25550.0,448.6,478.8,368.45,379.9,369.0,379.9,57675,75,14973.69,106800.0,-12000.0,NIFTY
2025-07-16,2025-07-31,PE,25550.0,408.75,448.0,352.6,383.7,388.35,383.7,29475,75,7648.53,104250.0,-2550.0,NIFTY
2025-07-17,2025-07-31,PE,25550.0,390.15,442.7,370.2,428.4,437.85,428.4,40575,75,10532.12,106125.0,1875.0,NIFTY
2025-07-18,2025-07-31,PE,25550.0,454.8,593.15,451.25,551.1,549.35,551.1,43650,75,11393.79,93750.0,-12375.0,NIFTY
2025-07-21,2025-07-31,PE,25550.0,635.0,635.0,447.9,460.35,447.9,460.35,23025,75,6001.74,90300.0,-3450.0,NIFTY
2025-07-22,2025-07-31,PE,25550.0,411.8,498.75,397.15,473.55,474.2,473.55,33750,75,8774.46,84825.0,-5475.0,NIFTY
2025-07-23,2025-07-31,PE,25550.0,427.35,451.45,326.0,329.6,330.75,329.6,70125,75,18176.16,87300.0,2475.0,NIFTY
2025-07-24,2025-07-31,PE,25550.0,330.0,510.0,327.75,467.35,476.3,467.35,114450,75,29715.72,103950.0,16650.0,NIFTY
2025-07-25,2025-07-31,PE,25550.0,580.0,711.65,551.25,702.25,705.0,702.25,42750,75,11201.64,95775.0,-8175.0,NIFTY
2025-07-28,2025-07-31,PE,25550.0,800.0,880.0,634.45,842.6,842.95,842.6,33600,75,8853.16,91275.0,-4500.0,NIFTY
2025-07-29,2025-07-31,PE,25550.0,843.0,907.1,702.6,712.9,704.2,712.9,10125,75,2667.62,86250.0,-5025.0,NIFTY
2025-07-30,2025-07-31,PE,25550.0,740.0,753.6,646.65,680.9,681.6,680.9,30000,75,7869.75,77025.0,-9225.0,NIFTY
2025-07-31,2025-07-31,PE,25550.0,862.2,916.2,583.25,771.3,783.85,24768.35,56100,75,14760.07,60225.0,-16800.0,NIFTY
