DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL
2025-06-20,2025-07-31,CE,25550.0,185.0,275.95,179.05,265.6,260.1,265.6,32775,75,8452.44,20775.0,10050.0,NIFTY
2025-06-23,2025-07-31,CE,25550.0,270.9,270.9,179.2,220.5,216.15,220.5,41550,75,10701.96,24675.0,3900.0,NIFTY
2025-06-24,2025-07-31,CE,25550.0,303.05,357.7,200.0,241.4,245.9,241.4,88350,75,22826.87,35700.0,11025.0,NIFTY
2025-06-25,2025-07-31,CE,25550.0,256.05,310.0,256.0,291.05,292.15,291.05,38175,75,9863.04,41100.0,5400.0,NIFTY
2025-06-26,2025-07-31,CE,25550.0,300.05,432.9,300.05,411.8,422.7,411.8,127800,75,33150.36,64425.0,23325.0,NIFTY
2025-06-27,2025-07-31,CE,25550.0,472.05,499.6,425.05,480.9,485.8,480.9,218475,75,56831.77,62025.0,-2400.0,NIFTY
2025-06-30,2025-07-31,CE,25550.0,510.9,510.9,380.0,397.9,398.05,397.9,358425,75,93083.61,155850.0,93825.0,NIFTY
2025-07-01,2025-07-31,CE,25550.0,437.9,437.9,379.9,402.5,398.0,402.5,210825,75,54722.05,170925.0,15075.0,NIFTY
2025-07-02,2025-07-31,CE,25550.0,412.0,424.05,307.45,335.0,333.5,335.0,489750,75,126792.48,179850.0,8925.0,NIFTY
2025-07-03,2025-07-31,CE,25550.0,344.8,396.0,303.2,309.1,306.0,309.1,471375,75,122084.12,182025.0,2175.0,NIFTY
2025-07-04,2025-07-31,CE,25550.0,306.0,327.55,259.3,316.4,321.0,316.4,162000,75,41871.95,195825.0,13800.0,NIFTY
2025-07-07,2025-07-31,CE,25550.0,285.95,327.75,277.8,303.6,304.2,303.6,163350,75,42231.15,196050.0,225.0,NIFTY
2025-07-08,2025-07-31,CE,25550.0,298.0,340.0,281.7,331.05,334.0,331.05,241800,75,62527.61,213675.0,17625.0,NIFTY
2025-07-09,2025-07-31,CE,25550.0,321.0,331.0,268.5,281.25,275.65,281.25,449100,75,116092.99,224175.0,10500.0,NIFTY
2025-07-10,2025-07-31,CE,25550.0,276.0,276.0,196.0,200.9,196.0,200.9,325050,75,83790.95,221400.0,-2775.0,NIFTY
2025-07-11,2025-07-31,CE,25550.0,180.0,180.0,111.8,115.6,111.8,115.6,720600,75,185069.62,266850.0,45450.0,NIFTY
2025-07-14,2025-07-31,CE,25550.0,100.0,107.75,74.8,91.6,91.65,91.6,619575,75,158836.56,267750.0,900.0,NIFTY
2025-07-15,2025-07-31,CE,25550.0,94.35,127.75,80.0,100.85,99.75,100.85,670200,75,171934.99,308100.0,40350.0,NIFTY
2025-07-16,2025-07-31,CE,25550.0,84.85,98.0,69.25,84.35,80.1,84.35,906975,75,232487.72,261450.0,-46650.0,NIFTY
2025-07-17,2025-07-31,CE,25550.0,80.3,84.0,57.05,58.9,59.0,58.9,1621875,75,415506.1,281475.0,20025.0,NIFTY
2025-07-18,2025-07-31,CE,25550.0,59.05,59.15,34.35,38.9,38.55,38.9,1759950,75,450410.78,407325.0,125850.0,NIFTY
2025-07-21,2025-07-31,CE,25550.0,32.9,44.5,22.15,36.55,36.85,36.55,1833750,75,469151.68,398625.0,-8700.0,NIFTY
2025-07-22,2025-07-31,CE,25550.0,39.6,43.1,21.2,22.3,21.75,22.3,2401950,75,614385.11,535125.0,136500.0,NIFTY
2025-07-23,2025-07-31,CE,25550.0,25.0,36.15,20.25,35.05,35.4,35.05,4873275,75,1246476.36,659400.0,124275.0,NIFTY
2025-07-24,2025-07-31,CE,25550.0,35.95,35.95,13.7,14.8,14.45,14.8,8079675,75,2065999.11,1074750.0,415350.0,NIFTY
2025-07-25,2025-07-31,CE,25550.0,11.0,12.05,6.5,7.05,7.1,7.05,24746025,75,6324603.44,1939950.0,865200.0,NIFTY
2025-07-28,2025-07-31,CE,25550.0,7.0,7.05,3.8,4.1,4.05,4.1,27068925,75,6917417.38,2347350.0,407400.0,NIFTY
2025-07-29,2025-07-31,CE,25550.0,3.5,4.65,1.3,1.8,1.4,1.8,25124625,75,6420141.89,1948500.0,-398850.0,NIFTY
2025-07-30,2025-07-31,CE,25550.0,1.35,1.7,0.8,1.1,0.85,1.1,23521500,75,6010022.82,2542350.0,593850.0,NIFTY
2025-07-31,2025-07-31,CE,25550.0,1.0,1.35,0.05,0.1,0.05,24768.35,29027550,75,7416726.17,1636425.0,-905925.0,NIFTY
